id,name,description,ability_id
1.A.1.e.3,Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.",32
1.A.3.b.1,Stamina,The ability to exert yourself physically over long periods of time without getting winded or out of breath.,33
1.A.3.a.1,Static Strength,"The ability to exert maximum muscle force to lift, push, pull, or carry objects.",34
1.A.4.a.3,Visual Color Discrimination,"The ability to match or detect differences between colors, including shades of color and brightness.",35
1.A.4.a.7,Glare Sensitivity,The ability to see objects in the presence of a glare or bright lighting.,36
1.A.4.b.1,Hearing Sensitivity,The ability to detect or tell the differences between sounds that vary in pitch and loudness.,37
1.A.3.a.2,Explosive Strength,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.",38
1.A.1.c.2,Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly.",39
1.A.2.c.2,Wrist-Finger Speed,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.",40
1.A.2.b.1,Control Precision,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.,41
1.A.4.a.6,Depth Perception,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.",42
1.A.3.c.2,Dynamic Flexibility,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.",43
1.A.1.c.1,Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.,44
1.A.4.a.4,Night Vision,The ability to see under low-light conditions.,45
1.A.4.a.5,Peripheral Vision,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.,46
1.A.2.b.4,Rate Control,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.,47
1.A.2.c.1,Reaction Time,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.",48
1.A.2.b.3,Response Orientation,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.",49
1.A.4.b.3,Sound Localization,The ability to tell the direction from which a sound originated.,50
1.A.1.f.1,Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.,51
1.A.2.c.3,Speed of Limb Movement,The ability to quickly move the arms and legs.,52
