isco08,Name_de,Berufshauptgruppe,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,fo_probability,fo_computerisation
7515,Nahrungsmittel- und Getränkekoster und -klassierer,7,0.69,0.63,0.69,0.44,0.66,0.69,0.47,0.53,0.53,0.56,0.53,0.5,0.47,0.56,0.47,0.47,0.41,0.47,0.53,0.53,0.19,0.44,0.56,0.19,0.0,0.03,0.0,0.16,0.19,0.41,0.38,0.13,0.78,0.0,0.25,0.69,0.72,0.28,0.63,0.66,0.41,0.72,0.75,0.44,0.5,0.56,0.72,0.72,0.53,0.53,0.53,0.44,0.44,0.63,0.31,0.63,0.25,0.53,0.41,0.5,0.25,0.28,0.41,0.22,0.38,0.38,0.56,0.25,0.25,0.47,0.19,0.35,0.0,0.35,0.22,0.35,0.31,0.0,0.38,0.16,0.22,0.28,0.28,0.22,0.19,0.25,0.25,0.41,na
3154,Flugverkehrslotsen,3,0.69,0.81,0.85,0.6,0.78,0.75,0.63,0.75,0.72,0.78,0.53,0.53,0.53,0.69,0.41,0.47,0.47,0.53,0.56,0.53,0.44,0.19,0.56,0.19,0.06,0.06,0.0,0.19,0.19,0.47,0.38,0.19,0.44,0.03,0.25,0.91,0.91,0.5,0.78,0.72,0.6,0.78,0.94,0.6,0.88,0.75,0.85,0.81,0.75,0.6,0.66,0.78,0.63,0.78,0.19,0.81,0.0,0.81,0.38,0.63,0.0,0.03,0.47,0.0,0.35,0.1,0.78,0.0,0.0,0.5,0.28,0.47,0.0,0.5,0.03,0.47,0.41,0.0,0.53,0.28,0.16,0.13,0.19,0.16,0.19,0.22,0.0,0.029,na
7232,Flugmotorenmechaniker und -schlosser,7,0.69,0.6,0.56,0.5,0.72,0.6,0.5,0.72,0.5,0.56,0.47,0.5,0.41,0.5,0.35,0.47,0.41,0.5,0.53,0.5,0.28,0.38,0.78,0.25,0.81,0.56,0.35,0.13,0.28,0.31,0.6,0.13,0.72,0.81,0.78,0.63,0.6,0.41,0.5,0.75,0.47,0.72,0.75,0.47,0.5,0.53,0.66,0.66,0.75,0.6,0.5,0.47,0.53,0.47,0.47,0.6,0.28,0.47,0.72,0.5,0.28,0.5,0.75,0.28,0.72,0.66,0.53,0.31,0.47,0.56,0.25,0.53,0.06,0.31,0.25,0.75,0.47,0.1,0.38,0.25,0.25,0.47,0.5,0.41,0.25,0.28,0.25,0.003,na
8211,Berufe der Montage von mechanischen Bauteilen,8,0.5,0.5,0.53,0.44,0.53,0.53,0.5,0.5,0.47,0.5,0.44,0.47,0.41,0.47,0.31,0.31,0.31,0.35,0.47,0.47,0.22,0.19,0.47,0.25,0.5,0.47,0.47,0.25,0.28,0.38,0.47,0.13,0.6,0.47,0.47,0.5,0.53,0.25,0.5,0.53,0.35,0.66,0.69,0.47,0.5,0.53,0.53,0.5,0.6,0.47,0.5,0.41,0.6,0.44,0.47,0.47,0.31,0.31,0.53,0.5,0.44,0.53,0.63,0.38,0.6,0.5,0.5,0.38,0.47,0.47,0.25,0.47,0.19,0.31,0.28,0.53,0.44,0.06,0.31,0.25,0.25,0.38,0.38,0.25,0.25,0.25,0.25,0.79,na
2240,Feldscher und vergleichbare paramedizinische Praktiker,2,0.69,0.66,0.75,0.53,0.66,0.69,0.6,0.53,0.53,0.66,0.53,0.44,0.47,0.63,0.35,0.38,0.41,0.56,0.44,0.44,0.1,0.5,0.6,0.19,0.31,0.35,0.06,0.19,0.28,0.47,0.5,0.1,0.47,0.25,0.38,0.69,0.78,0.44,0.6,0.75,0.41,0.69,0.78,0.44,0.69,0.63,0.72,0.72,0.63,0.63,0.53,0.5,0.47,0.47,0.44,0.56,0.28,0.5,0.63,0.41,0.22,0.38,0.53,0.25,0.56,0.41,0.69,0.31,0.38,0.5,0.16,0.47,0.0,0.47,0.35,0.6,0.35,0.03,0.5,0.0,0.0,0.31,0.44,0.44,0.0,0.0,0.25,0.14,na
8322,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer",8,0.53,0.53,0.6,0.53,0.63,0.5,0.47,0.47,0.47,0.5,0.47,0.5,0.35,0.53,0.44,0.44,0.31,0.63,0.25,0.22,0.19,0.16,0.44,0.1,0.31,0.25,0.0,0.1,0.28,0.25,0.5,0.03,0.25,0.28,0.35,0.69,0.72,0.25,0.53,0.53,0.28,0.56,0.72,0.44,0.5,0.56,0.56,0.53,0.53,0.47,0.5,0.53,0.47,0.53,0.5,0.5,0.44,0.44,0.53,0.38,0.35,0.47,0.47,0.28,0.5,0.53,0.5,0.31,0.53,0.38,0.22,0.41,0.16,0.28,0.13,0.5,0.5,0.0,0.25,0.28,0.28,0.47,0.53,0.53,0.22,0.53,0.38,0.029,na
3153,Flugzeugpiloten und verwandte Berufe,3,0.72,0.69,0.78,0.56,0.78,0.78,0.72,0.66,0.66,0.75,0.53,0.5,0.5,0.69,0.41,0.44,0.47,0.47,0.56,0.56,0.28,0.44,0.91,0.16,0.19,0.0,0.0,0.16,0.22,0.53,0.97,0.13,0.53,0.03,0.53,0.75,0.75,0.53,0.69,0.75,0.47,0.81,0.94,0.5,0.75,0.69,0.78,0.75,0.75,0.53,0.5,0.75,0.6,0.81,0.28,0.75,0.19,0.6,0.75,0.56,0.22,0.38,0.53,0.25,0.63,0.75,0.78,0.16,0.28,0.66,0.66,0.69,0.13,0.56,0.44,0.91,0.78,0.0,0.53,0.6,0.72,0.78,0.81,0.97,0.47,0.75,0.44,0.029,na
6121,Nutztierhalter (ohne Geflügel) und Milchproduzenten,6,0.47,0.5,0.5,0.41,0.56,0.5,0.44,0.5,0.38,0.5,0.44,0.22,0.28,0.5,0.19,0.35,0.25,0.35,0.35,0.28,0.16,0.5,0.47,0.06,0.0,0.1,0.0,0.28,0.25,0.28,0.41,0.13,0.41,0.0,0.25,0.47,0.5,0.19,0.5,0.47,0.22,0.63,0.53,0.25,0.38,0.47,0.53,0.5,0.5,0.41,0.53,0.22,0.38,0.5,0.5,0.44,0.31,0.31,0.5,0.25,0.41,0.38,0.5,0.31,0.47,0.5,0.41,0.41,0.5,0.35,0.13,0.25,0.19,0.28,0.19,0.41,0.28,0.03,0.35,0.1,0.1,0.22,0.22,0.25,0.16,0.19,0.25,0.95,na
6122,Geflügelhalter,6,0.47,0.5,0.5,0.41,0.56,0.5,0.44,0.5,0.38,0.5,0.44,0.22,0.28,0.5,0.19,0.35,0.25,0.35,0.35,0.28,0.16,0.5,0.47,0.06,0.0,0.1,0.0,0.28,0.25,0.28,0.41,0.13,0.41,0.0,0.25,0.47,0.5,0.19,0.5,0.47,0.22,0.63,0.53,0.25,0.38,0.47,0.53,0.5,0.5,0.41,0.53,0.22,0.38,0.5,0.5,0.44,0.31,0.31,0.5,0.25,0.41,0.38,0.5,0.31,0.47,0.5,0.41,0.41,0.5,0.35,0.13,0.25,0.19,0.28,0.19,0.41,0.28,0.03,0.35,0.1,0.1,0.22,0.22,0.25,0.16,0.19,0.25,0.95,na
6123,Imker und Seidenraupenzüchter,6,0.47,0.5,0.5,0.41,0.56,0.5,0.44,0.5,0.38,0.5,0.44,0.22,0.28,0.5,0.19,0.35,0.25,0.35,0.35,0.28,0.16,0.5,0.47,0.06,0.0,0.1,0.0,0.28,0.25,0.28,0.41,0.13,0.41,0.0,0.25,0.47,0.5,0.19,0.5,0.47,0.22,0.63,0.53,0.25,0.38,0.47,0.53,0.5,0.5,0.41,0.53,0.22,0.38,0.5,0.5,0.44,0.31,0.31,0.5,0.25,0.41,0.38,0.5,0.31,0.47,0.5,0.41,0.41,0.5,0.35,0.13,0.25,0.19,0.28,0.19,0.41,0.28,0.03,0.35,0.1,0.1,0.22,0.22,0.25,0.16,0.19,0.25,0.95,na
6129,"Tierhalter, anderweitig nicht genannt",6,0.47,0.5,0.5,0.41,0.56,0.5,0.44,0.5,0.38,0.5,0.44,0.22,0.28,0.5,0.19,0.35,0.25,0.35,0.35,0.28,0.16,0.5,0.47,0.06,0.0,0.1,0.0,0.28,0.25,0.28,0.41,0.13,0.41,0.0,0.25,0.47,0.5,0.19,0.5,0.47,0.22,0.63,0.53,0.25,0.38,0.47,0.53,0.5,0.5,0.41,0.53,0.22,0.38,0.5,0.5,0.44,0.31,0.31,0.5,0.25,0.41,0.38,0.5,0.31,0.47,0.5,0.41,0.41,0.5,0.35,0.13,0.25,0.19,0.28,0.19,0.41,0.28,0.03,0.35,0.1,0.1,0.22,0.22,0.25,0.16,0.19,0.25,0.95,na
6221,Fachkräfte im Bereich Aquakultur,6,0.47,0.5,0.5,0.41,0.56,0.5,0.44,0.5,0.38,0.5,0.44,0.22,0.28,0.5,0.19,0.35,0.25,0.35,0.35,0.28,0.16,0.5,0.47,0.06,0.0,0.1,0.0,0.28,0.25,0.28,0.41,0.13,0.41,0.0,0.25,0.47,0.5,0.19,0.5,0.47,0.22,0.63,0.53,0.25,0.38,0.47,0.53,0.5,0.5,0.41,0.53,0.22,0.38,0.5,0.5,0.44,0.31,0.31,0.5,0.25,0.41,0.38,0.5,0.31,0.47,0.5,0.41,0.41,0.5,0.35,0.13,0.25,0.19,0.28,0.19,0.41,0.28,0.03,0.35,0.1,0.1,0.22,0.22,0.25,0.16,0.19,0.25,0.95,na
2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",2,0.85,0.78,0.78,0.56,0.78,0.69,0.47,0.69,0.5,0.6,0.81,0.6,0.6,0.66,0.38,0.44,0.47,0.38,0.5,0.44,0.19,0.41,0.22,0.16,0.0,0.1,0.0,0.22,0.28,0.47,0.13,0.22,0.25,0.0,0.03,0.81,0.81,0.44,0.75,0.85,0.5,0.66,0.56,0.63,0.56,0.69,0.81,0.85,0.69,0.88,0.69,0.47,0.56,0.5,0.31,0.69,0.22,0.5,0.35,0.25,0.22,0.28,0.41,0.19,0.41,0.28,0.44,0.22,0.25,0.47,0.03,0.19,0.19,0.47,0.28,0.25,0.16,0.06,0.47,0.0,0.03,0.0,0.03,0.06,0.03,0.22,0.03,0.0077,na
2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.78,0.72,0.72,0.53,0.75,0.69,0.56,0.75,0.53,0.75,0.75,0.5,0.56,0.72,0.5,0.5,0.5,0.5,0.69,0.56,0.44,0.75,0.38,0.22,0.03,0.03,0.0,0.25,0.31,0.6,0.22,0.25,0.44,0.0,0.22,0.75,0.75,0.44,0.75,0.75,0.56,0.72,0.75,0.69,0.53,0.69,0.75,0.75,0.72,0.75,0.72,0.41,0.44,0.5,0.28,0.5,0.16,0.31,0.25,0.41,0.06,0.1,0.16,0.1,0.03,0.25,0.5,0.13,0.25,0.41,0.19,0.28,0.1,0.56,0.22,0.25,0.25,0.0,0.56,0.13,0.13,0.13,0.22,0.25,0.1,0.25,0.0,0.0045,na
2619,"Juristen, anderweitig nicht genannt",2,0.75,0.78,0.85,0.66,0.75,0.47,0.5,0.66,0.53,0.75,0.78,0.47,0.5,0.69,0.94,0.69,0.22,0.5,0.41,0.41,0.13,0.16,0.06,0.1,0.0,0.0,0.0,0.03,0.03,0.25,0.0,0.13,0.03,0.0,0.0,0.78,0.78,0.25,0.75,0.75,0.5,0.6,0.69,0.5,0.47,0.69,0.75,0.75,0.56,0.78,0.53,0.38,0.28,0.41,0.13,0.47,0.0,0.44,0.0,0.16,0.0,0.0,0.13,0.0,0.0,0.0,0.28,0.0,0.0,0.16,0.0,0.16,0.0,0.28,0.06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,na
2161,"Architekten, Innenarchitekten",2,0.75,0.75,0.72,0.56,0.75,0.69,0.5,0.69,0.63,0.69,0.72,0.5,0.56,0.66,0.53,0.53,0.5,0.47,0.63,0.6,0.75,0.47,0.31,0.25,0.0,0.06,0.0,0.44,0.44,0.63,0.22,0.22,0.53,0.0,0.22,0.75,0.75,0.47,0.63,0.75,0.75,0.72,0.75,0.75,0.53,0.63,0.75,0.75,0.75,0.75,0.75,0.44,0.78,0.66,0.13,0.66,0.0,0.5,0.25,0.28,0.03,0.0,0.31,0.0,0.25,0.19,0.56,0.0,0.0,0.47,0.0,0.19,0.0,0.6,0.13,0.25,0.38,0.0,0.56,0.0,0.03,0.0,0.0,0.0,0.0,0.31,0.0,0.018,na
1223,Führungskräfte in Forschung und Entwicklung,1,0.78,0.75,0.75,0.63,0.72,0.69,0.72,0.75,0.69,0.72,0.75,0.56,0.56,0.72,0.53,0.53,0.56,0.56,0.53,0.5,0.35,0.41,0.38,0.22,0.03,0.0,0.0,0.47,0.47,0.72,0.13,0.22,0.5,0.0,0.25,0.78,0.78,0.44,0.75,0.81,0.66,0.69,0.72,0.69,0.53,0.69,0.72,0.72,0.69,0.72,0.56,0.38,0.69,0.56,0.13,0.53,0.0,0.47,0.25,0.25,0.0,0.0,0.28,0.0,0.25,0.16,0.47,0.0,0.0,0.5,0.0,0.22,0.0,0.6,0.06,0.25,0.25,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.017,na
2621,Archiv- und Museumswissenschaftler,2,0.75,0.56,0.72,0.44,0.6,0.5,0.53,0.56,0.5,0.56,0.75,0.5,0.47,0.56,0.44,0.44,0.47,0.53,0.47,0.38,0.28,0.25,0.25,0.22,0.0,0.0,0.0,0.25,0.31,0.25,0.0,0.19,0.25,0.0,0.16,0.63,0.72,0.38,0.53,0.75,0.47,0.72,0.53,0.47,0.5,0.53,0.69,0.6,0.75,0.75,0.75,0.28,0.31,0.5,0.25,0.31,0.19,0.28,0.25,0.25,0.22,0.25,0.28,0.22,0.25,0.22,0.35,0.19,0.25,0.44,0.0,0.25,0.03,0.38,0.03,0.13,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,na
2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,0.69,0.75,0.75,0.56,0.69,0.56,0.66,0.66,0.66,0.69,0.6,0.53,0.5,0.56,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.06,0.19,0.13,0.03,0.03,0.0,0.38,0.35,0.31,0.0,0.13,0.28,0.03,0.03,0.75,0.75,0.35,0.66,0.75,0.81,0.75,0.69,0.81,0.44,0.66,0.66,0.63,0.69,0.6,0.63,0.41,0.72,0.53,0.16,0.5,0.0,0.44,0.28,0.19,0.03,0.0,0.35,0.0,0.28,0.0,0.44,0.0,0.0,0.69,0.0,0.16,0.0,0.31,0.13,0.22,0.1,0.0,0.38,0.0,0.0,0.03,0.06,0.0,0.0,0.03,0.0,0.023,na
3421,Athleten und Berufssportler,3,0.53,0.72,0.69,0.53,0.69,0.56,0.5,0.5,0.66,0.56,0.44,0.5,0.47,0.5,0.47,0.5,0.47,0.47,0.28,0.35,0.25,0.19,0.35,0.22,0.22,0.0,0.0,0.16,0.19,0.28,0.19,0.0,0.25,0.0,0.22,0.72,0.75,0.35,0.66,0.56,0.47,0.63,0.72,0.47,0.53,0.6,0.6,0.6,0.56,0.44,0.44,0.47,0.5,0.6,0.56,0.44,0.63,0.31,0.56,0.38,0.66,0.6,0.44,0.56,0.53,0.6,0.47,0.72,0.72,0.35,0.22,0.35,0.66,0.28,0.22,0.38,0.38,0.31,0.28,0.19,0.25,0.35,0.47,0.44,0.16,0.22,0.44,0.28,na
3423,Trainer und Betreuer im Bereich Fitness und Erholung,3,0.69,0.72,0.75,0.69,0.72,0.72,0.56,0.56,0.53,0.72,0.63,0.66,0.53,0.69,0.44,0.5,0.47,0.66,0.47,0.47,0.28,0.35,0.44,0.22,0.06,0.16,0.0,0.22,0.22,0.28,0.25,0.06,0.44,0.0,0.25,0.75,0.66,0.44,0.72,0.72,0.53,0.6,0.78,0.53,0.5,0.72,0.69,0.69,0.69,0.69,0.5,0.44,0.44,0.5,0.47,0.53,0.41,0.44,0.5,0.41,0.38,0.28,0.5,0.25,0.5,0.53,0.47,0.47,0.5,0.38,0.0,0.41,0.25,0.25,0.22,0.35,0.35,0.16,0.25,0.0,0.0,0.1,0.1,0.19,0.0,0.0,0.22,0.0071,na
2111,Physiker und Astronomen,2,0.81,0.72,0.75,0.53,0.78,0.6,0.53,0.56,0.53,0.69,0.75,0.53,0.63,0.75,0.44,0.5,0.53,0.53,0.5,0.5,0.44,0.81,0.28,0.28,0.16,0.16,0.0,0.38,0.28,0.75,0.16,0.31,0.25,0.16,0.16,0.78,0.75,0.47,0.69,0.75,0.66,0.75,0.66,0.63,0.66,0.6,0.78,0.78,0.75,0.75,0.56,0.44,0.5,0.66,0.1,0.72,0.0,0.35,0.13,0.25,0.0,0.1,0.25,0.0,0.13,0.0,0.5,0.0,0.0,0.47,0.0,0.25,0.0,0.75,0.03,0.16,0.25,0.0,0.78,0.16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.041,na
